"MaximumPressure","MinimumPressure","MaximumTemperature","MinimumTemperature","MaximumRelativeHumidity","MinimumRelativeHumidity","Precipitation","TotalEvaporation","SunshineDuration","WindDirection","WindSpeed"
1016.3,1010.9,30.6,15.6,96,39,0,3.55,8.3,30,4.629996
1017,1011.9,32,14.8,96,34,0,1.56,8.9,350,5.658884
1017.3,1011.6,31.6,14.9,97,37,0,5.83,8.9,190,9.774436
1018,1012.3,32.1,14.2,93,36,0,3.55,8.8,70,5.658884
1017.7,1012.3,31.2,14.8,94,49,0,2.75,7.9,230,5.658884
1017,1012.3,30.2,19.5,94,49,0,3.68,7.8,200,10.28888
1019,1011.5,30.3,16.4,94,45,0,1.29,8.8,190,7.71666
1016.3,1010.2,30.7,15.6,97,39,0,6.09,8.4,180,6.687772
1014,1008.2,31.6,14,96,30,0,2.02,9.1,180,6.687772
1014.3,1009.6,31.5,12.1,96,26,0,5.59,9.3,110,5.658884
1015.3,1009.9,30.5,10.5,89,23,0,3.9,9.3,210,6.687772
1013.6,1007.5,30.8,9,92,23,0,2.81,9.2,90,5.658884
1011.8,1006.1,32.3,8.7,92,22,0,5.39,9.4,270,11.317768
1012.9,1007.9,32.1,10,87,25,0,3.22,9.2,110,7.71666
1012.6,1005.8,32.5,9.9,91,29,0,4.82,9.4,250,8.745548
1010.9,1006.2,29.7,12.4,91,32,0,3.5,9.4,140,8.745548
1014.3,1008.9,30.7,12,93,33,0,3,9.3,40,6.687772
1015.6,1009.9,30.8,11.6,96,28,0,4.5,9.4,70,6.687772
1016.3,1010.5,31.7,11.7,90,27,0,3.46,9.3,240,5.658884
1017.3,1011.6,33.4,11.9,93,30,0,4.34,9.3,160,7.71666
1017.3,1010.6,32.5,13,92,26,0,4.08,10.3,230,8.745548
1016.3,1010.2,33.5,13.5,81,32,0,4.17,9.5,270,13.375544
1015.2,1009.6,31.2,15.8,92,39,0,6.13,9.7,180,8.745548
1017,1011.2,33.6,14.2,94,32,0,4.18,9.6,220,8.745548
1018,1011.9,33.8,14.6,93,35,0,3.89,9.6,80,6.687772
1018,1011.6,32.1,17.4,94,39,0,4.01,8.6,20,10.28888
1019,1012.9,33.1,14.5,91,20,0,5.08,9.5,150,7.71666
1019.7,1014.3,32.6,16.5,88,43,14.6,4.94,8.5,220,14.404432
1021.1,1015.3,29.6,20.1,99,56,0,3.16,9.1,200,8.745548
1020.1,1012.9,31.6,18.7,94,43,0,3.77,9.1,190,8.745548
1019.4,1013.3,32.4,16.1,95,30,0,5.15,9.9,200,7.71666
1018.7,1012.3,31.6,14.5,89,32,0,2.47,9.5,90,1.1832212
1017.7,1011.2,32.1,14.9,91,34,0,4.81,9,280,1.5947764
1017,1010.9,33.4,14.4,91,30,0,4.02,9.7,30,1.28611
1017.3,1010.9,33.1,14.1,90,28,0,5.55,10.1,270,1.5947764
1017,1010.6,32.9,12.2,88,25,0,4.33,9.4,290,2.2635536
1015,1008.9,35.3,13.2,90,18,0,3.4,10,250,4.115552
1016,1010.2,32.7,13,80,23,0,5.3,9.6,270,3.086664
1017,1010.2,32.8,13.2,87,29,0,6.66,9.8,250,2.1092204
1016.6,1010.9,31.3,15.7,85,32,0,4,8.5,270,1.800554
1017.3,1011.9,31.1,13.1,81,25,0,3.27,10,50,2.3664424
1017.3,1012.3,32.2,12.3,84,20,0,6.31,10.1,360,1.7491096
1017,1010.2,33.7,10.8,85,22,0,5.06,10.2,260,3.2924416
1017.7,1011.2,32.1,10.9,77,19,0,4.92,10,70,0.4629996
1017.7,1010.6,32.6,9.4,83,16,0,4.85,9.8,350,0.4629996
1015.3,1009.2,33.2,9.8,82,20,0,5.55,9.7,20,4.2698852
1013.6,1007.2,34,12,80,21,0,6.83,10.1,220,4.6814404
1015,1008.9,32.2,13.3,82,19,0,4.56,9.7,120,1.2346656
1013.6,1008.3,32.1,12.5,77,24,0,4.42,9.9,110,1.9548872
1013.3,1007.9,32.9,14,83,28,0,4.2,9.6,110,1.543332
1014,1008.5,33.9,15.4,85,26,0,5.32,10,110,1.1832212
1014.3,1008.2,34.7,17,80,27,0,6.03,9.9,50,2.7779976
1015.6,1008.9,35.8,14.2,82,17,0,6.31,10,220,3.9097744
1015.6,1009.2,34.6,15,76,27,0,6.4,9.3,240,1.6976652
1015,1009,35.9,18.1,83,27,0,4.94,9.6,350,2.314998
